county,fips,court_id,judge_name,address,coa_districts,coa_local_districts,coa_has_local_overlap
Anderson,48001,tx_ccc_48001,Carey G. McKinney,"703 N. Mallard, Ste 101, Palestine 75801","[12, 15]",[12],False
Andrews,48003,tx_ccc_48003,Charlie Falcon,"201 N. Main, Andrews 79714","[8, 15]",[8],False
Angelina,48005,tx_ccc_48005,Keith Wright,"P.O. Box 908, Lufkin 75902","[12, 15]",[12],False
Aransas,48007,tx_ccc_48007,,"Ray Garza 301 N. Live Oak Street, Rockport 78382","[13, 15]",[13],False
Archer,48009,tx_ccc_48009,Randall C. Jackson,"P.O. Box 458, Archer City 76351","[2, 15]",[2],False
Armstrong,48011,tx_ccc_48011,Adam Ensey,"P.O. Box 189, Claude 79019","[7, 15]",[7],False
Atascosa,48013,tx_ccc_48013,Weldon P. Cude,"#1 Courthouse Circle, Ste. 101, Jourdanton 78026","[4, 15]",[4],False
Austin,48015,tx_ccc_48015,Timothy Lapham,"One East Main, Bellville 77418","[1, 14, 15]","[1, 14]",True
Bailey,48017,tx_ccc_48017,Basil Nash,"300 South First St., Ste. 100, Muleshoe 79347","[7, 15]",[7],False
Bandera,48019,tx_ccc_48019,Richard A. Evans,"P.O. Box 877, Bandera 78003","[4, 15]",[4],False
Bastrop,48021,tx_ccc_48021,Gregory Klaus,"804 Pecan, Bastrop 78602","[3, 15]",[3],False
Baylor,48023,tx_ccc_48023,Rusty Stafford,"119 E. McLain, Seymour 76380","[11, 15]",[11],False
Bee,48025,tx_ccc_48025,George Morrill,"105 W. Corpus Christi St., Rm. #109, Beeville 78102","[13, 15]",[13],False
Bell,48027,tx_ccc_48027,David Blackburn,"P.O. Box 768, Belton 76513","[3, 15]",[3],False
Bexar,48029,tx_ccc_48029,Peter Sakai,"101 W Nueva St, 10th Fl, San Antonio 78205","[4, 15]",[4],False
Blanco,48031,tx_ccc_48031,Brett Bray,"P.O. Box 471, Johnson City 78636","[3, 15]",[3],False
Borden,48033,tx_ccc_48033,Shane Walker,"P.O. Box 156, Gail 79738","[11, 15]",[11],False
Bosque,48035,tx_ccc_48035,Cindy Vanlandingham,"P.O. Box 647, Meridian 76665","[10, 15]",[10],False
Bowie,48037,tx_ccc_48037,Bobby Howell,"710 James Bowie Drive, New Boston 75570","[6, 15]",[6],False
Brazoria,48039,tx_ccc_48039,Matt Sebesta,"111 E. Locust, Ste 102A, Angleton 77515","[1, 14, 15]","[1, 14]",True
Brazos,48041,tx_ccc_48041,Duane Peters,"200 South Texas Ave., Suite 332, Bryan 77803","[10, 15]",[10],False
Brewster,48043,tx_ccc_48043,Greg Henington,"P.O. Box 1630, Alpine 79831","[8, 15]",[8],False
Briscoe,48045,tx_ccc_48045,Rank Cogdell,"P.O. Box 153, Silverton 79257","[7, 15]",[7],False
Brooks,48047,tx_ccc_48047,Eric Ramos,"100 E. Miller St., Falfurrias 78355","[4, 15]",[4],False
Brown,48049,tx_ccc_48049,Shane Britton,"200 South Broadway, Brownwood 76801","[11, 15]",[11],False
Burleson,48051,tx_ccc_48051,Keith Schroeder,"100 West Buck Street, Suite 306, Caldwell 77836","[10, 15]",[10],False
Burnet,48053,tx_ccc_48053,Bryan Wilson,"220 South Pierce St., Burnet 78611","[3, 15]",[3],False
Caldwell,48055,tx_ccc_48055,Hoppy Haden,"110 S. Main, Rm. 201, Lockhart 78644","[3, 15]",[3],False
Calhoun,48057,tx_ccc_48057,"2/27/26, 1:11 AM County Judges","Richard Meyer 211 S. Ann St., Rm 301, Port Lavaca 77979","[13, 15]",[13],False
Callahan,48059,tx_ccc_48059,Nicki Harle,"100 W. 4th St., Suite 200, Baird 79504","[11, 15]",[11],False
Cameron,48061,tx_ccc_48061,"Eddie Trevino, Jr.","1100 East Monroe, Brownsville 78520","[13, 15]",[13],False
Camp,48063,tx_ccc_48063,James (AJ) Mason,"126 Church Street, Pittsburg 75686","[6, 15]",[6],False
Carson,48065,tx_ccc_48065,Daniel Looten,"P.O. Box 369, Panhandle 79068","[7, 15]",[7],False
Cass,48067,tx_ccc_48067,Travis Ransom,"P.O. Box 825, Linden 75563","[6, 15]",[6],False
Castro,48069,tx_ccc_48069,Mandy Gfeller,"100 East Bedford, Room 111, Dimmitt 79027","[7, 15]",[7],False
Chambers,48071,tx_ccc_48071,Jimmy Sylvia,"P.O. Box 939, Anahuac 77514","[1, 14, 15]","[1, 14]",True
Cherokee,48073,tx_ccc_48073,Chris Davis,"135 South Main St., Rusk 75785","[12, 15]",[12],False
Childress,48075,tx_ccc_48075,Kimberly R. Jones,"Courthouse, Box 1, Childress 79201","[7, 15]",[7],False
Clay,48077,tx_ccc_48077,Mike Campbell,"214 N. Main, Henrietta 76365","[2, 15]",[2],False
Cochran,48079,tx_ccc_48079,Pat Sabala Henry,"100 N. Main, Room 105, Morton 79346","[7, 15]",[7],False
Coke,48081,tx_ccc_48081,Hal Spain,"13 E. 7th Street, Robert Lee 76945","[3, 15]",[3],False
Coleman,48083,tx_ccc_48083,Bill Bledsoe,"100 West Live Oak St., Ste 102, Coleman 76834","[11, 15]",[11],False
Collin,48085,tx_ccc_48085,Chris Hill,"2300 Bloomdale Rd., #4192, McKinney 75071","[5, 15]",[5],False
Collingsworth,48087,tx_ccc_48087,Scot Martindale,"800 W. Ave., Box 13, Wellington 79095","[7, 15]",[7],False
Colorado,48089,tx_ccc_48089,Daniel Tyran Prause,"400 Spring Street, Room 113, Columbus 78934","[1, 14, 15]","[1, 14]",True
Comal,48091,tx_ccc_48091,Sherman Krause,"100 Main Plaza, New Braunfels 78130","[3, 15]",[3],False
Comanche,48093,tx_ccc_48093,Stephanie L. Davis,"101 West Central, Comanche 76442","[11, 15]",[11],False
Concho,48095,tx_ccc_48095,David Dillard,"P.O. Box 158, Paint Rock 76866","[3, 15]",[3],False
Cooke,48097,tx_ccc_48097,John O. Roane,"101 S. Dixon, Gainesville 76240","[2, 15]",[2],False
Coryell,48099,tx_ccc_48099,Roger Miller,"800 East Main St., Ste. A, Gatesville 76528","[10, 15]",[10],False
Cottle,48101,tx_ccc_48101,Karl Holloway,"P.O. Box 729, Paducah 79248","[7, 15]",[7],False
Crane,48103,tx_ccc_48103,Roy Hodges,"201 W. 6th St., Rm. 100, Crane 79731","[8, 15]",[8],False
Crockett,48105,tx_ccc_48105,Frank Tambunga,"P.O. Box 1857, Ozona 76943","[8, 15]",[8],False
Crosby,48107,tx_ccc_48107,Rusty Forbes,"201 West Aspen, Suite #208, Crosbyton 79322","[7, 15]",[7],False
Culberson,48109,tx_ccc_48109,Carlos G. Urias,"Box 927, Van Horn 79855","[8, 15]",[8],False
Dallam,48111,tx_ccc_48111,Wesley Ritchey,"414 Denver, Suite 301, Dalhart 79022","[7, 15]",[7],False
Dallas,48113,tx_ccc_48113,Clay Jenkins,"411 Elm St., 2nd Floor, Dallas 75202","[5, 15]",[5],False
Dawson,48115,tx_ccc_48115,Foy O’Brien,"P.O. Box 1268, Lamesa 79331","[11, 15]",[11],False
Deaf Smith,48117,tx_ccc_48117,"David Lynn Wagner, Jr.","235 E. 3rd, Rm. 204, Hereford 79045-5542","[7, 15]",[7],False
Delta,48119,tx_ccc_48119,Tanner Crutcher,"200 W. Dallas Avenue, Cooper 75432","[6, 15]",[6],False
Denton,48121,tx_ccc_48121,Andy Eads,"110 West Hickory St., Denton 76201","[2, 15]",[2],False
Dewitt,48123,tx_ccc_48123,Daryl L. Fowler,"307 N. Gonzales St., Cuero 77954","[13, 15]",[13],False
Dickens,48125,tx_ccc_48125,Kevin L. Brendle,"P.O. Box 179, Dickens 79229","[7, 15]",[7],False
Dimmit,48127,tx_ccc_48127,Martha Alicia Gomez Ponce,"Courthouse, 103 N. 5th St., Carrizo Springs 78834","[4, 15]",[4],False
Donley,48129,tx_ccc_48129,John Cooper Howard,"P.O. Box 909, Clarendon 79226","[7, 15]",[7],False
Duval,48131,tx_ccc_48131,"Arnoldo ""Guero"" Cantu","P.O. Box 189, San Diego 78384","[4, 15]",[4],False
Eastland,48133,tx_ccc_48133,David Hullum,"100 W. Main, #203, Eastland 76448","[11, 15]",[11],False
Ector,48135,tx_ccc_48135,Dustin Fawcett,"300 N. Grant, Rm. 227, Odessa 79761","[11, 15]",[11],False
Edwards,48137,tx_ccc_48137,Souli Asa Shanklin,"P.O. Box 348, Rocksprings 78880","[4, 15]",[4],False
El Paso,48141,tx_ccc_48141,"2/27/26, 1:11 AM County Judges","Ricardo Samaniego 500 E. San Antonio, Rm 301, El Paso 79901","[8, 15]",[8],False
Ellis,48139,tx_ccc_48139,John Wray,"101 W. Main, Waxahachie 75165","[10, 15]",[10],False
Erath,48143,tx_ccc_48143,Brandon J. Huckabee,"100 W. Washington, Stephenville 76401","[11, 15]",[11],False
Falls,48145,tx_ccc_48145,Jay Elliott,"P.O. Box 458, Marlin 76661","[10, 15]",[10],False
Fannin,48147,tx_ccc_48147,Newt Cunningham,"101 E. Sam Rayburn, #101, Bonham 75418","[6, 15]",[6],False
Fayette,48149,tx_ccc_48149,Dan Mueller,"151 N. Washington St., La Grange 78945","[3, 15]",[3],False
Fisher,48151,tx_ccc_48151,Ken Holt,"P.O. Box 306, Roby 79543","[11, 15]",[11],False
Floyd,48153,tx_ccc_48153,Marty Lucke,"100 Main, Room 105, Floydada 79235","[7, 15]",[7],False
Foard,48155,tx_ccc_48155,Mark Christopher,"P.O. Box 660, Crowell 79227","[7, 15]",[7],False
Fort Bend,48157,tx_ccc_48157,KP George,"401 Jackson St., Richmond 77469","[1, 14, 15]","[1, 14]",True
Franklin,48159,tx_ccc_48159,Scott Lee,"200 Kaufman St. N., Mt. Vernon 75457","[6, 15]",[6],False
Freestone,48161,tx_ccc_48161,Linda K. Grant,"Courthouse, 118 E. Commerce, Rm 205, Fairfield 75840","[10, 15]",[10],False
Frio,48163,tx_ccc_48163,Rochelle Lozano Camacho,"500 E. San Antonio St., #7, Pearsall 78061","[4, 15]",[4],False
Gaines,48165,tx_ccc_48165,Cindy Therwhanger,"P.O. Box 847, Seminole 79360","[11, 15]",[11],False
Galveston,48167,tx_ccc_48167,Mark Henry,"722 Moody, Ste. 200, Galveston 77550","[1, 14, 15]","[1, 14]",True
Garza,48169,tx_ccc_48169,Lee Norman,"300 West Main Street, Post 79356","[7, 15]",[7],False
Gillespie,48171,tx_ccc_48171,Daniel Jones,"101 W. Main, #9, Fredericksburg 78624","[4, 15]",[4],False
Glasscock,48173,tx_ccc_48173,Billy Reynolds,"P.O. Box 67, Garden City 79739","[11, 15]",[11],False
Goliad,48175,tx_ccc_48175,Mike Bennett,"P.O. Box 677, Goliad 77963","[13, 15]",[13],False
Gonzales,48177,tx_ccc_48177,Patrick Davis,"414 St. Joseph St., Suite 200, Gonzales 78629","[13, 15]",[13],False
Gray,48179,tx_ccc_48179,Chris Porter,"205 N. Russell St., Rm. 205, Pampa 79065","[7, 15]",[7],False
Grayson,48181,tx_ccc_48181,Bruce Dawsey,"100 W. Houston, Suite 15, Sherman 75090","[5, 15]",[5],False
Gregg,48183,tx_ccc_48183,Bill Stoudt,"101 E. Methvin, Ste. 300, Longview 75601","[6, 12, 15]","[6, 12]",True
Grimes,48185,tx_ccc_48185,Joe Fauth III,"P.O. Box 160, Anderson 77830","[1, 14, 15]","[1, 14]",True
Guadalupe,48187,tx_ccc_48187,Kyle Kutscher,"211 West Court Street, Seguin 78155","[4, 15]",[4],False
Hale,48189,tx_ccc_48189,David B. Mull,"500 Broadway #240, Plainview 79072","[7, 15]",[7],False
Hall,48191,tx_ccc_48191,Ray Powell,"512 Main Street, Ste. 4, Memphis 79245","[7, 15]",[7],False
Hamilton,48193,tx_ccc_48193,James Yates,"102 North Rice, Hamilton 76531","[10, 15]",[10],False
Hansford,48195,tx_ccc_48195,Tim Glass,"16 N.W. Court St., Spearman 79081","[7, 15]",[7],False
Hardeman,48197,tx_ccc_48197,Ronald Ingram,"P.O. Box 30, Quanah 79252","[7, 15]",[7],False
Hardin,48199,tx_ccc_48199,Wayne McDaniel,"300 Monroe St., Kountze 77625","[9, 15]",[9],False
Harris,48201,tx_ccc_48201,Lina Hidalgo,"1001 Preston, Ste. 911, Houston 77002","[1, 14, 15]","[1, 14]",True
Harrison,48203,tx_ccc_48203,Chad Sims,"1 Peter Whetstone Square, Marshall 75670","[6, 15]",[6],False
Hartley,48205,tx_ccc_48205,Ronnie Gordon,"P.O. Box G, Channing 79018","[7, 15]",[7],False
Haskell,48207,tx_ccc_48207,Kenny Thompson,"1 Ave D, Haskell 79521","[11, 15]",[11],False
Hays,48209,tx_ccc_48209,Ruben Becerra,"111 E. San Antonio, Ste. 300, San Marcos 78666","[3, 15]",[3],False
Hemphill,48211,tx_ccc_48211,Lisa Johnson,"400 Main Street, Rm. 200, Canadian 79014","[7, 15]",[7],False
Henderson,48213,tx_ccc_48213,Wade McKinney,"125 N. Prairieville St. Ste. 100, Courthouse, Athens 75751","[12, 15]",[12],False
Hidalgo,48215,tx_ccc_48215,Richard Cortez,"302 W. University Dr., Edinburg 78539","[13, 15]",[13],False
Hill,48217,tx_ccc_48217,Justin W. Lewis,"P.O. Box 457, Hillsboro 76645","[10, 15]",[10],False
Hockley,48219,tx_ccc_48219,Sharla Baldridge,"802 Houston, Ste. 101, Levelland 79336","[7, 15]",[7],False
Hood,48221,tx_ccc_48221,"2/27/26, 1:11 AM County Judges","Ron Massingill 100 E. Pearl, Granbury 76048","[2, 15]",[2],False
Hopkins,48223,tx_ccc_48223,Robert Newsom,"118 Church St., Sulphur Springs 75482","[6, 15]",[6],False
Houston,48225,tx_ccc_48225,Jim L. Lovell,"401 East Goliad Ave, Crockett 75835","[12, 15]",[12],False
Howard,48227,tx_ccc_48227,Randy S. Johnson,"300 Main St., Rm. 207, Big Spring 79720","[11, 15]",[11],False
Hudspeth,48229,tx_ccc_48229,"Joanna ""JoJo"" Mackenzie","P.O. Box 68, Sierra Blanca 79851","[8, 15]",[8],False
Hunt,48231,tx_ccc_48231,Bobby W. Stovall,"2507 Lee St, 2nd Floor Greenville 75401","[5, 6, 15]","[5, 6]",True
Hutchinson,48233,tx_ccc_48233,Cindy Irwin,"P.O. Box 790, Stinnett 79083","[7, 15]",[7],False
Irion,48235,tx_ccc_48235,Molly Criner,"P.O. Box 770, Mertzon 76941","[3, 15]",[3],False
Jack,48237,tx_ccc_48237,Keith Umphress,"100 Main, Ste 206, Jacksboro 76458","[2, 15]",[2],False
Jackson,48239,tx_ccc_48239,Jill S. Sklar,"115 W. Main, Room 207, Edna 77957","[13, 15]",[13],False
Jasper,48241,tx_ccc_48241,Mark Allen,"121 N. Austin, Room 106, Jasper 75951","[9, 15]",[9],False
Jeff Davis,48243,tx_ccc_48243,Curtis Evans,"P.O. Box 836, Fort Davis 79734","[8, 15]",[8],False
Jefferson,48245,tx_ccc_48245,Jeff Branick,"1149 Pearl, Beaumont 77701","[9, 15]",[9],False
Jim Hogg,48247,tx_ccc_48247,Juan Carlos Guerra,"P.O. Box 729, Hebbronville 78361","[4, 15]",[4],False
Jim Wells,48249,tx_ccc_48249,"Pedro ""Pete"" Trevino, Jr.","200 N. Almond, Alice 78332","[4, 15]",[4],False
Johnson,48251,tx_ccc_48251,Christopher Boedeker,"2 N. Main St., #120, Cleburne 76033","[10, 15]",[10],False
